Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-03-23,30.4,30400.0,1.4(4.83 %),64030,1940910000,0,0,30400.0,30400.0,29500.0
2010-03-24,30.0,30000.0,-0.4(-1.32 %),65970,1943801000,0,0,30500.0,30500.0,29000.0
2010-03-25,28.5,28500.0,-1.5(-5.00 %),8680,249698000,0,0,28900.0,29100.0,28500.0
2010-03-26,27.5,27500.0,-1(-3.51 %),44420,1213935000,0,0,27300.0,28000.0,27100.0
2010-03-29,27.8,27800.0,0.3(1.09 %),7410,204027000,0,0,27300.0,28000.0,27300.0
2010-03-30,27.5,27500.0,-0.3(-1.08 %),5020,138463000,35000,927500000,27500.0,28000.0,27400.0
2010-03-31,27.9,27900.0,0.4(1.45 %),12440,338432000,0,0,28000.0,28000.0,27000.0
2010-04-01,27.4,27400.0,-0.5(-1.79 %),22760,611805000,0,0,27000.0,27400.0,26600.0
2010-04-02,27.2,27200.0,-0.2(-0.73 %),15220,415876000,0,0,27500.0,27600.0,27000.0
2010-04-05,27.1,27100.0,-0.1(-0.37 %),23290,633639000,0,0,27400.0,27400.0,27000.0
2010-04-06,27.1,27100.0,0(0.00 %),44310,1202605000,0,0,27100.0,27300.0,27100.0
2010-04-07,28.4,28400.0,1.3(4.80 %),116500,3308500000,0,0,28400.0,28400.0,28200.0
2010-04-08,29.8,29800.0,1.4(4.93 %),94180,2806564000,0,0,29800.0,29800.0,29800.0
2010-04-09,28.8,28800.0,-1(-3.36 %),98880,2933843000,0,0,30000.0,30000.0,28800.0
2010-04-12,28.1,28100.0,-0.7(-2.43 %),38440,1104888000,50000,1370000000,29600.0,29600.0,28100.0
2010-04-13,27.8,27800.0,-0.3(-1.07 %),34730,972112000,0,0,28000.0,28400.0,27800.0
2010-04-14,28.0,28000.0,0.2(0.72 %),28750,798495000,0,0,27100.0,29100.0,27100.0
2010-04-15,27.8,27800.0,-0.2(-0.71 %),38810,1079166000,0,0,27900.0,28100.0,27600.0
2010-04-16,27.7,27700.0,-0.1(-0.36 %),29920,833150000,0,0,27800.0,28200.0,27700.0
2010-04-19,27.8,27800.0,0.1(0.36 %),65130,1798017000,0,0,27500.0,27800.0,27500.0
2010-04-20,27.5,27500.0,-0.3(-1.08 %),33650,932324000,0,0,28000.0,28000.0,27500.0
2010-04-21,27.2,27200.0,-0.3(-1.09 %),69110,1877803000,0,0,27200.0,27400.0,27000.0
2010-04-22,27.7,27700.0,0.5(1.84 %),31970,881000000,0,0,27200.0,27900.0,27200.0
2010-04-26,27.1,27100.0,-0.6(-2.17 %),22850,627282000,0,0,27800.0,27800.0,27100.0
2010-04-27,27.0,27000.0,-0.1(-0.37 %),27220,736232000,0,0,27100.0,27200.0,26900.0
2010-04-28,26.8,26800.0,-0.2(-0.74 %),27810,745297000,0,0,26900.0,26900.0,26700.0
2010-04-29,27.5,27500.0,0.7(2.61 %),96000,2624670000,0,0,26800.0,27600.0,26800.0
2010-05-04,28.8,28800.0,1.3(4.73 %),105000,3023249000,0,0,28800.0,28800.0,28700.0
2010-05-05,28.0,28000.0,-0.8(-2.78 %),62150,1782079000,0,0,29000.0,29000.0,28000.0
2010-05-06,28.5,28500.0,0.5(1.79 %),67950,1940953000,0,0,28400.0,29000.0,28000.0
2010-05-07,27.5,27500.0,-1(-3.51 %),52930,1466434000,0,0,28000.0,28000.0,27200.0
2010-05-10,27.7,27700.0,0.2(0.73 %),56580,1550690000,0,0,27300.0,27800.0,27000.0
2010-05-11,27.5,27500.0,-0.2(-0.72 %),31590,877474000,0,0,28400.0,28400.0,27400.0
2010-05-12,26.8,26800.0,-0.7(-2.55 %),59860,1627482000,0,0,27500.0,27500.0,26800.0
2010-05-13,26.5,26500.0,-0.3(-1.12 %),30080,801752000,0,0,26800.0,27800.0,26500.0
2010-05-14,26.3,26300.0,-0.2(-0.75 %),45790,1219757000,0,0,26500.0,27000.0,26300.0
2010-05-17,26.0,26000.0,-0.3(-1.14 %),31140,812415000,0,0,26200.0,26400.0,25900.0
2010-05-18,26.3,26300.0,0.3(1.15 %),25320,679039000,0,0,27000.0,27000.0,26200.0
2010-05-19,25.4,25400.0,-0.9(-3.42 %),12650,321272000,0,0,26800.0,26800.0,25000.0
2010-05-20,24.9,24900.0,-0.5(-1.97 %),14290,350374000,0,0,24200.0,25200.0,24200.0
2010-05-21,23.7,23700.0,-1.2(-4.82 %),28200,668340000,0,0,23700.0,23700.0,23700.0
2010-05-24,23.9,23900.0,0.2(0.84 %),18070,431635000,0,0,23700.0,24600.0,23700.0
2010-05-25,24.0,24000.0,0.1(0.42 %),11180,268988000,0,0,24500.0,24500.0,24000.0
2010-05-26,24.3,24300.0,0.3(1.25 %),5520,134457000,0,0,24600.0,24600.0,24000.0
2010-05-27,24.0,24000.0,-0.3(-1.23 %),5360,127400000,0,0,24000.0,24000.0,23500.0
2010-05-28,24.5,24500.0,0.5(2.08 %),39430,980189000,0,0,25000.0,25100.0,24500.0
2010-05-31,23.9,23900.0,-0.6(-2.45 %),2220,52524000,0,0,23500.0,24800.0,23500.0
2010-06-01,24.1,24100.0,0.2(0.84 %),9430,225335000,0,0,23600.0,24100.0,23600.0
2010-06-02,24.1,24100.0,0(0.00 %),4050,97284000,0,0,24100.0,24100.0,24000.0
2010-06-03,23.9,23900.0,-0.2(-0.83 %),41030,982765000,0,0,24100.0,24200.0,23800.0
2010-06-04,24.0,24000.0,0.1(0.42 %),29340,705740000,0,0,24200.0,24200.0,23800.0
