Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-01-25,7.29,9490,0.29(3.15 %),1350,12000000,0,0,9800,9800,8800
2018-01-26,6.91,9000,-0.49(-5.16 %),3400,30000000,0,0,8830,9000,8830
2018-01-29,6.91,9000,0(0.00 %),320,3000000,0,0,9000,9000,9000
2018-01-30,7.4,9600,0.63(7.00 %),5330,51000000,0,0,9500,9600,9100
2018-01-31,7.91,10300,0.67(6.96 %),10780,109000000,0,0,9630,10300,9630
2018-02-01,8.45,11000,0.7(6.80 %),4610,51000000,0,0,10900,11000,10900
2018-02-02,9.03,11750,0.75(6.82 %),5110,60000000,0,0,11750,11750,11750
2018-02-05,9.64,12550,0.8(6.81 %),9020,113200000,0,0,12550,12550,12500
2018-02-06,10.29,13400,0.85(6.77 %),40180,538000000,0,0,13400,13400,13400
2018-02-07,10.99,14300,0.9(6.72 %),22700,323750000,0,0,14300,14300,14000
2018-02-08,11.75,15300,1(6.99 %),14280,216000000,0,0,15300,15300,13900
2018-02-09,10.95,14250,-1.05(-6.86 %),840,12000000,0,0,14250,14250,14250
2018-02-12,10.22,13300,-0.95(-6.67 %),760,10000000,0,0,14250,14250,13300
2018-02-13,9.53,12400,-0.9(-6.77 %),1260,16000000,0,0,12400,12400,12400
2018-02-21,8.87,11550,-0.85(-6.85 %),2910,34000000,0,0,12400,12400,11550
2018-02-22,8.26,10750,-0.8(-6.93 %),11790,127000000,0,0,10750,11550,10750
2018-02-23,7.68,10000,-0.75(-6.98 %),11170,112000000,0,0,10000,10000,10000
2018-02-26,8.22,10700,0.7(7.00 %),9150,98000000,0,0,10700,10700,10200
2018-02-27,8.76,11400,0.7(6.54 %),5650,64000000,0,0,11350,11400,11000
2018-02-28,9.33,12150,0.75(6.58 %),9820,119000000,0,0,12150,12150,12150
2018-03-01,9.6,12500,0.35(2.88 %),33760,434000000,0,0,13000,13000,12500
2018-03-02,9.99,13000,0.5(4.00 %),1110,14000000,0,0,13300,13300,11650
2018-03-05,9.3,12100,-0.9(-6.92 %),2650,32000000,0,0,12500,12500,12100
2018-03-06,8.68,11300,-0.8(-6.61 %),6680,75000000,0,0,11300,12000,11300
2018-03-07,9.22,12000,0.7(6.19 %),790,9000000,0,0,12000,12000,11300
2018-03-08,9.18,11950,-0.05(-0.42 %),200,2000000,0,0,11200,12000,11200
2018-03-09,9.14,11900,-0.05(-0.42 %),1040,12000000,0,0,11950,12000,11200
2018-03-12,8.53,11100,-0.8(-6.72 %),1720,19000000,0,0,11100,11900,11100
2018-03-13,8.57,11150,0.05(0.45 %),4220,48000000,0,0,10500,11850,10500
2018-03-14,9.1,11850,0.7(6.28 %),320,4000000,0,0,11900,11900,11200
2018-03-15,9.22,12000,0.15(1.27 %),1870,21000000,0,0,11050,12000,11050
2018-03-16,9.22,12000,0(0.00 %),2930,35000000,0,0,12000,12000,11200
2018-03-19,9.22,12000,0(0.00 %),2250,26000000,0,0,12000,12000,11200
2018-03-20,9.14,11900,-0.1(-0.83 %),500,6000000,0,0,12000,12000,11200
2018-03-21,8.6,11200,-0.7(-5.88 %),1470,16000000,0,0,11100,11900,11100
2018-03-22,9.18,11950,0.75(6.70 %),520,6000000,0,0,11200,11950,11200
2018-03-23,9.07,11800,-0.15(-1.26 %),80,1000000,0,0,11150,11950,11150
2018-03-26,8.99,11700,-0.1(-0.85 %),3050,36000000,0,0,11800,11800,11700
2018-03-27,8.99,11700,0(0.00 %),30,0,0,0,11700,11700,11700
2018-03-28,8.95,11650,-0.05(-0.43 %),130,2000000,0,0,11650,11700,11650
2018-03-29,8.84,11500,-0.15(-1.29 %),990,11000000,0,0,11000,11500,11000
2018-03-30,8.45,11000,-0.5(-4.35 %),470,5000000,0,0,11000,11000,10700
2018-04-02,8.45,11000,0(0.00 %),810,9000000,0,0,10250,11000,10250
2018-04-03,7.87,10250,-0.75(-6.82 %),1450,15000000,0,0,11000,11000,10250
2018-04-04,8.41,10950,0.7(6.83 %),6270,63000000,0,0,10000,10950,9540
2018-04-05,8.84,11500,0.55(5.02 %),10,0,0,0,11500,11500,11500
2018-04-06,8.22,10700,-0.8(-6.96 %),290,3000000,0,0,10700,11350,10700
2018-04-09,8.45,11000,0.3(2.80 %),8580,90000000,0,0,10800,11000,10000
2018-04-10,8.41,10950,-0.05(-0.45 %),570,6000000,0,0,11000,11000,10950
2018-04-11,8.07,10500,-0.45(-4.11 %),90,1000000,0,0,10500,10500,10500
2018-04-12,8.07,10500,0(0.00 %),100,1000000,0,0,9800,10500,9800
2018-04-13,8.07,10500,0(0.00 %),1080,11000000,0,0,10000,10950,10000
2018-04-16,8.22,10700,0.2(1.90 %),1030,11000000,0,0,10700,11000,10700
